Date,Price (USD),open,high,low,Vol.,tradecount,Daily Change
5/8/19,11828.8,10929.99,11937.52,10927.8,757976547.2,622610,0.082308635
6/8/19,11481.69,11830,12330.7,11226.7,904119081.6,625827,-0.029344481
7/8/19,11975.03,11481.69,12141.17,11382.84,814597979.1,592916,0.042967542
8/8/19,11999.77,11975.04,12060,11521,604389131.1,473584,0.002065966
9/8/19,11879.99,11994.17,12045.68,11700,467011047.9,410902,-0.009981858
10/8/19,11309.31,11879.98,11985,11270,492217964.5,399237,-0.048037077
11/8/19,11549.97,11309.24,11600,11112.11,304862403.4,306234,0.021279813
12/8/19,11396.08,11539.08,11577.89,11235.32,200325471.6,255966,-0.013323844
13/8/19,10892.71,11398.35,11456.16,10788.45,368994475.5,337834,-0.044170452
14/8/19,10050.37,10893.36,10897.48,9928.1,567724729.1,534507,-0.077330618
15/8/19,10293.93,10055.16,10460,9911,387705855.1,373368,0.024233934
16/8/19,10331.54,10296.77,10536.03,9750,527258446.4,504740,0.003653609
17/8/19,10216.02,10331.15,10465.14,10000,297776329,332795,-0.011181295
18/8/19,10306.78,10216.05,10500,10080,248508872.5,265705,0.008884086
19/8/19,10915.54,10306.17,10930,10258.6,396233441,337022,0.059064034
20/8/19,10760.51,10914.73,10949.96,10560,346664453.1,305065,-0.014202687
21/8/19,10142.57,10760.51,10804.13,9858,482889274.5,458814,-0.057426646
22/8/19,10099.88,10140.82,10242,9762,341371442.9,401148,-0.004208992
23/8/19,10389.55,10099.9,10445,10019.79,282732431.8,326866,0.028680539
24/8/19,10134.35,10388.16,10419.42,9890,279962133.6,313227,-0.024563143
25/8/19,10142.69,10134.61,10333,9906.97,265132761.3,289956,0.000822944
26/8/19,10372.25,10142.69,10604,10137.93,432249835.5,405316,0.022633049
27/8/19,10185.05,10373.6,10391.08,10051.08,289340681.1,292888,-0.018048157
28/8/19,9721,10185.69,10299,9601.01,420034883,381293,-0.045561877
29/8/19,9498.44,9721,9724,9320,337838761.6,343887,-0.022894764
30/8/19,9584.54,9499.01,9696,9350.41,255854874.5,259270,0.009064646
31/8/19,9587.47,9582.76,9684.51,9420.75,164116756.5,199188,0.000305701
1/9/19,9724.98,9588.74,9830,9520,188513289.1,191324,0.014342679
2/9/19,10340,9723.59,10450,9712.5,448462178.6,354155,0.063241261
3/9/19,10615.28,10340,10773,10272,505617667.4,416076,0.026622824
4/9/19,10567.02,10611.85,10799,10369.89,463526509.3,383457,-0.004546277
5/9/19,10564.49,10565.92,10900,10450,358861340.8,309846,-0.000239424
6/9/19,10298.73,10563.13,10905.87,10150,623662984.4,455334,-0.025155971
7/9/19,10455.88,10298.71,10558,10288.57,287851131.2,272011,0.015259163
8/9/19,10381.18,10455.9,10592.5,10208,249900964.4,237752,-0.007144305
9/9/19,10303.12,10381.24,10480,10068.5,409724831.9,330459,-0.007519376
10/9/19,10098.15,10302.58,10384.99,9953,294323839.5,286763,-0.019893974
11/9/19,10158.33,10098.19,10293,9880,321637085.5,309120,0.005959507
12/9/19,10415.01,10158.75,10448.81,10040,353390091,317881,0.025267933
13/9/19,10342.06,10415.01,10439,10153,311632094.3,304947,-0.007004314
14/9/19,10335.02,10344.13,10419.99,10222.33,244063007.1,253929,-0.000680715
15/9/19,10302.01,10332.81,10360,10252.15,185853330.4,194733,-0.003193995
16/9/19,10251.31,10303.34,10355,10078,296325130.2,274368,-0.00492137
17/9/19,10187.82,10249.68,10275,10128.01,233944812.6,287483,-0.006193355
18/9/19,10156.99,10187.48,10258.02,10100,247024351.6,299466,-0.003026163
19/9/19,10244.29,10156.41,10325,9653,447676493,429727,0.008595066
20/9/19,10168.59,10243.7,10281,10061.39,255205290.2,267032,-0.007389482
21/9/19,9986.39,10167.92,10176.7,9900,206034034.5,245439,-0.017917922
22/9/19,10028.87,9985.15,10089,9853.97,220133631.6,253713,0.004253789
23/9/19,9702.25,10028.05,10049.99,9615.77,314390584.6,332817,-0.032567976
24/9/19,8493.14,9702.2,9794.99,7800,838996309.2,748712,-0.124621608
25/9/19,8430.05,8497.55,8730,8215.64,512437200.4,544806,-0.007428348
26/9/19,8063.73,8430.05,8465.99,7750,552794530.9,522062,-0.043454072
27/9/19,8177.91,8063.49,8265,7852.15,352800745.2,369518,0.0141597
28/9/19,8198.81,8177.47,8315,8001.09,280672404.7,319113,0.002555665
29/9/19,8043.82,8199.38,8229.13,7890,253660600.3,322501,-0.018903963
30/9/19,8289.34,8043.04,8337.26,7710,449120676.8,455556,0.030522811
1/10/19,8292.44,8289.97,8500,8173.05,362980689.9,387653,0.000373974
2/10/19,8359.94,8292.67,8373.91,8151.22,216325351.9,261430,0.008139944
3/10/19,8223.96,8360,8393,8060,250291751.3,281307,-0.016265667
4/10/19,8137.13,8224.43,8232.41,8005,215325611.7,259012,-0.010558174
5/10/19,8126.19,8137.09,8183.41,8012.98,177252877,237769,-0.001344454
6/10/19,7854.25,8127.55,8153.87,7785,275447898,325795,-0.033464637
7/10/19,8190.09,7855.3,8299.92,7762,420921679.8,482605,0.042759016
8/10/19,8168.39,8190.82,8325,8088.75,290675248.1,395685,-0.002649544
9/10/19,8560.74,8170.79,8670,8115,462845251.8,537805,0.048032721
10/10/19,8558.03,8562.15,8644,8414.52,333925412.3,406932,-0.000316561
11/10/19,8258.5,8557.82,8779.51,8212.38,424413201.5,471818,-0.034999877
12/10/19,8300.09,8257.95,8400,8250,177707852.6,280633,0.005036023
13/10/19,8275.01,8301.98,8451.37,8160,232149438.4,320051,-0.003021654
14/10/19,8348.2,8275.24,8388.85,8203,247530733.2,345679,0.008844702
15/10/19,8159.29,8346.86,8403,8090,270727559.8,399447,-0.02262883
16/10/19,7991.74,8159.3,8181.16,7917,279586845.5,421026,-0.020534875
17/10/19,8070.58,7995.02,8124.92,7929.03,238343204.5,356490,0.009865186
18/10/19,7947.01,8070.71,8115,7816.01,248931322.1,399783,-0.015311167
19/10/19,7948.01,7946.89,8098.1,7866.92,211909734.1,349746,0.000125833
20/10/19,8223.35,7949.87,8297,7870,275899861.7,396091,0.034642634
21/10/19,8197.27,8223.35,8333,8142.03,250117281.6,367169,-0.003171457
22/10/19,8020,8197.28,8297.99,8000,283535483.4,384699,-0.021625492
23/10/19,7466.62,8020.06,8047.59,7300,488220760.6,610241,-0.069
24/10/19,7412.41,7468.47,7503.68,7337.99,243246414.9,403778,-0.007260313
25/10/19,8655.02,7412.41,8799,7361,737329544.9,775418,0.167639135
26/10/19,9230,8655.88,10370,8470.38,1522244166,1185369,0.066433122
27/10/19,9529.93,9230,9794.98,9074.34,887438297.7,799978,0.032495125
28/10/19,9205.14,9528.23,9902.1,9160,759178942.9,681128,-0.034081048
29/10/19,9407.62,9204.45,9550,9072,600611324.6,559589,0.021996406
30/10/19,9154.72,9407.62,9409.84,9001.01,506584830,524035,-0.026882463
31/10/19,9140.85,9154.02,9405,8913,498152743.7,490183,-0.001515065
1/11/19,9231.61,9140.86,9279,9030,398803069,478002,0.009929055
2/11/19,9289.52,9231.4,9373.74,9186.21,268119579.7,325421,0.006273012
3/11/19,9194.71,9289.85,9362.57,9066.14,256664259.7,326024,-0.010206125
4/11/19,9393.35,9196.46,9513.68,9115.84,426792003.2,453749,0.021603726
