date,open,high,low,close,volume,tradecount
11/06/2021,36677.83,37680.4,35936.77,37331.98,2903043643,1727645
10/06/2021,37388.05,38491,35782,36675.72,4062957162,2231430
9/06/2021,33380.8,37534.79,32396.82,37388.05,4794741674,2601479
8/06/2021,33556.96,34068.01,31000,33380.81,4030784325,2074885
7/06/2021,35796.31,36900,33300,33552.79,2755673602,1532260
6/06/2021,35516.07,36480,35222,35796.31,1711857075,993430
5/06/2021,36829.15,37925,34800,35513.2,2560547117,1463754
4/06/2021,39246.78,39289.07,35555.15,36829,3379399755,1926311
3/06/2021,37568.68,39476,37170,39246.79,2930945326,1949658
2/06/2021,36694.85,38225,35920,37568.68,2523462576,1530915
1/06/2021,37253.82,37894.81,35666,36693.09,2973928300,1760417
31/05/2021,35641.26,37499,34153.84,37253.81,3406047735,1896359
30/05/2021,34605.15,36488,33379,35641.27,2601994948,1559892
29/05/2021,35661.79,37338.58,33632.76,34605.15,3949843335,2169643
28/05/2021,38529.99,38877.83,34684,35663.49,4926260942,2659178
27/05/2021,39241.92,40411.14,37134.27,38529.98,3361413526,2102182
26/05/2021,38324.72,40841,37800.44,39241.91,4113717505,2432319
25/05/2021,38810.99,39791.77,36419.62,38324.72,4253519579,2508310
24/05/2021,34681.44,39920,34031,38796.29,5996773032,3510578
23/05/2021,37458.51,38270.64,31111.01,34655.25,7431242463,4082004
22/05/2021,37263.35,38829,35200.62,37449.73,4730567648,2716691
21/05/2021,40525.39,42200,33488,37252.01,7713346610,3993336
20/05/2021,36671.23,42451.67,34850,40526.64,8019897067,4269898
19/05/2021,42849.78,43584.9,30000,36690.09,13477694935,6331062
18/05/2021,43538.02,45799.29,42250.02,42849.78,5146670283,2561165
17/05/2021,46426.83,46686,42001,43538.04,7346755532,3216821
16/05/2021,46762.99,49795.89,43825.39,46431.5,5367497608,2661295
15/05/2021,49844.16,50700,46555,46762.99,4350775847,2286791
14/05/2021,49671.92,51483,48799.75,49841.45,4015904915,2095860
13/05/2021,49537.15,51367.19,46000,49670.97,7303694689,3570506
12/05/2021,56670.02,58000.01,48600,49631.32,5476115093,2676826
11/05/2021,55816.14,56862.43,54370,56670.02,3583030655,1911480
10/05/2021,58240.83,59500,53400,55816.14,5131782640,2575419
9/05/2021,58866.53,59300,56235.66,58240.84,4043552702,2170139
8/05/2021,57315.49,59500,56900,58862.05,4079553832,2311378
7/05/2021,56393.68,58650,55241.63,57314.75,4239374487,2361692
6/05/2021,57436.11,58360,55200,56393.68,3992289528,2459881
5/05/2021,53205.05,58069.82,52900,57436.11,4327994296,2378119
